,n_neighbors,pca_dim,resolution,silhouette_score,calinski_harabasz_score,davies_bouldin_score
0,5,5,0.5,0.099705055,3937.403478155191,1.9732386222756617
1,5,5,0.8,0.0635655,3114.038234126471,2.126112942710219
2,5,5,1.0,0.068353765,2943.28459845141,2.230838670854061
3,10,5,0.5,0.12550436,4947.515581968791,2.03382063913082
4,10,5,0.8,0.10821342,4214.301099485745,2.2261366127610076
5,10,5,1.0,0.082921885,3850.635724207498,2.1950843424002557
6,5,6,0.5,0.099705055,3937.403478155191,1.9732386222756617
7,5,6,0.8,0.0635655,3114.038234126471,2.126112942710219
8,5,6,1.0,0.068353765,2943.28459845141,2.230838670854061
9,10,6,0.5,0.12550436,4947.515581968791,2.03382063913082
10,10,6,0.8,0.10821342,4214.301099485745,2.2261366127610076
11,10,6,1.0,0.082921885,3850.635724207498,2.1950843424002557
12,5,7,0.5,0.099705055,3937.403478155191,1.9732386222756617
13,5,7,0.8,0.0635655,3114.038234126471,2.126112942710219
14,5,7,1.0,0.068353765,2943.28459845141,2.230838670854061
15,10,7,0.5,0.12550436,4947.515581968791,2.03382063913082
16,10,7,0.8,0.10821342,4214.301099485745,2.2261366127610076
17,10,7,1.0,0.082921885,3850.635724207498,2.1950843424002557
