upregulated_genes_PBMC,downregulated_genes_PBMC,upregulated_genes_CSF,downregulated_genes_CSF
,RPL8,PCDHA2,VAMP8
,RPL38,CISD1,H3F3A
,CD48,LINC00588,YBX1
,HLA-DPB1,AJ003147.1,MT-ND4
,RPS13,ETF1,MT-ND5
,RPL24,AQP4-AS1,HMGB1
,RPL12,NOMO3,SLC25A6
,FTL,TEX52,RHOA
,UQCRB,AP001351.1,TPM3
,FTH1,ESR2,FTL
,RPL27A,AL359475.1,ITGB2
,COX7C,PCDHA4,GABARAP
,RPS8,LINC02417,TLN1
,UBA52,,SEPTIN7
,NACA,,PNRC1
,SH3BGRL3,,RPL13A
,S100A6,,CD99
,RPL23,,TPI1
,GAPDH,,EMP3
,LGALS1,,ELOB
,CCNI,,CDC42
,RPS20,,RPS8
,ATP5MC2,,UQCRH
,ATP5F1E,,COX5B
,S100A4,,SH3BGRL3
,BTF3,,ARPC5
,TMA7,,S100A6
,RPL7,,MT-ND2
,MYL12B,,RPL23
,OAZ1,,GAPDH
,RPL31,,COX6B1
,HLA-DPA1,,S100A11
,RPL29,,CYBA
,,,ARPC1B
,,,CFL1
,,,TXNIP
,,,COX8A
,,,ARPC2
,,,SERF2
,,,IQGAP1
,,,RPS10
,,,RPS20
,,,VIM
,,,ATP5MC2
,,,GNAI2
,,,MTRNR2L12
,,,SRP14
,,,ATP5F1E
,,,RPLP0
,,,RPS17
,,,S100A4
,,,TMSB10
,,,IFITM2
,,,PTMA
,,,GMFG
,,,ITM2B
,,,RPL7
,,,OAZ1
,,,CD63
,,,ARPC3
,,,RPL31
,,,SET
,,,HCST
,,,RAC1
