,data,random_seed,adjusted_rand,adjusted_mutual_info,homogeneity,completeness,v_measure,fowlkes_mallows
0,original,,1.0,1.0,1.0,1.0,1.0,1.0
1,perturbated_noise0.1_0,0.0,0.06388447119185182,0.13250235001125274,0.14104674186918825,0.12849546484771932,0.13447887722291,0.17032160703960414
2,upsampled_perturbated_noise0.1_0,0.0,0.00010771711003220921,5.9139811950468995e-05,0.00085827019795749,0.0012890745325968692,0.00103045797773537,0.17088261465159188
3,downsampled_perturbated_noise0.1_0,0.0,0.0002546188772553057,-7.888744747120014e-05,0.0012016326316986014,0.0018830860645442913,0.0014670885006203799,0.17061770499356196
4,perturbated_noise1_0,0.0,0.09400735309018389,0.14893043838908468,0.15944596320042756,0.14390651687414005,0.15127823044779865,0.20439224764181704
5,upsampled_perturbated_noise1_0,0.0,0.00010771711003220921,5.9139811950468995e-05,0.00085827019795749,0.0012890745325968692,0.00103045797773537,0.17088261465159188
6,downsampled_perturbated_noise1_0,0.0,0.0002546188772553057,-7.888744747120014e-05,0.0012016326316986014,0.0018830860645442913,0.0014670885006203799,0.17061770499356196
7,perturbated_noise2_0,0.0,0.09400735309018389,0.14893043838908468,0.15944596320042756,0.14390651687414005,0.15127823044779865,0.20439224764181704
8,upsampled_perturbated_noise2_0,0.0,0.00010771711003220921,5.9139811950468995e-05,0.00085827019795749,0.0012890745325968692,0.00103045797773537,0.17088261465159188
9,downsampled_perturbated_noise2_0,0.0,0.0002546188772553057,-7.888744747120014e-05,0.0012016326316986014,0.0018830860645442913,0.0014670885006203799,0.17061770499356196
10,upsampled_0,0.0,5.2025936029112215e-05,6.301147831601418e-05,0.021074780078751926,0.011667062838101226,0.015019361256015362,0.05155661202223399
11,downsampled_0,0.0,-1.6840133758389654e-05,0.00038310706630788967,0.016361089103011733,0.011840686162111296,0.013738604716752098,0.08309799811863196
12,perturbated_noise0.1_1,42.0,0.06890116478885956,0.14056921270040587,0.1485873770262421,0.13733233535041897,0.14273833252689508,0.17946441736285831
13,upsampled_perturbated_noise0.1_1,42.0,-2.0742412032641698e-05,4.2149231424886855e-05,0.0006412741400350281,0.0011117350586431311,0.0008133750173310461,0.18890373916843642
14,downsampled_perturbated_noise0.1_1,42.0,-9.536893594090877e-05,-2.9580231482598492e-05,0.0009289646740578506,0.0016470024476702408,0.0011879088665899273,0.18253972120240364
15,perturbated_noise1_1,42.0,0.08755146873507334,0.1524369017279471,0.1652374957028131,0.1457139233898893,0.15486280049938472,0.19541659356444094
16,upsampled_perturbated_noise1_1,42.0,-2.0742412032641698e-05,4.2149231424886855e-05,0.0006412741400350281,0.0011117350586431311,0.0008133750173310461,0.18890373916843642
17,downsampled_perturbated_noise1_1,42.0,-9.536893594090877e-05,-2.9580231482598492e-05,0.0009289646740578506,0.0016470024476702408,0.0011879088665899273,0.18253972120240364
18,perturbated_noise2_1,42.0,0.08755146873507334,0.1524369017279471,0.1652374957028131,0.1457139233898893,0.15486280049938472,0.19541659356444094
19,upsampled_perturbated_noise2_1,42.0,-2.0742412032641698e-05,4.2149231424886855e-05,0.0006412741400350281,0.0011117350586431311,0.0008133750173310461,0.18890373916843642
20,downsampled_perturbated_noise2_1,42.0,-9.536893594090877e-05,-2.9580231482598492e-05,0.0009289646740578506,0.0016470024476702408,0.0011879088665899273,0.18253972120240364
21,upsampled_1,42.0,0.0001705052837741415,-0.00016756630316804987,0.02151511319413032,0.011704505007096811,0.015161146560055927,0.04997830942815338
22,downsampled_1,42.0,0.00044280465513497647,2.7317074046808374e-05,0.014906949953877308,0.01070064125446403,0.012458330996999875,0.0792759669268843
